personid,post,performance,age,tenure,grosswage,children,bedroom,commute,men,married,wfh
17722,1,-1.2853856,24,45,4.1951799,0,yes,120,1,0,1
17752,0,.4628152,25,45,3.5489633,0,yes,60,1,0,1
17752,1,.35670224,25,45,3.5489633,0,yes,60,1,0,1
17906,0,-.78147089,27,45,2.5038145,0,yes,210,0,1,1
17906,1,.26825309,27,45,2.5038145,0,yes,210,0,1,1
17908,0,-1.3649949,27,45,3.1488588,1,yes,105,1,1,0
17908,1,-1.4310712,27,45,3.1488588,1,yes,105,1,1,0
17926,0,.39307117,25,45,4.0380645,0,yes,20,0,0,0
17926,1,-.56885934,25,45,4.0380645,0,yes,20,0,0,0
18112,0,-.061767481,27,44,2.7862556,0,yes,120,0,0,1
18112,1,.38036275,27,44,2.7862556,0,yes,120,0,0,1
18634,0,.14837559,23,43,3.4158845,0,yes,120,0,0,0
18634,1,.10863324,23,43,3.4158845,0,yes,120,0,0,0
18776,0,1.0395719,22,43,4.1839623,0,yes,60,1,0,0
18776,1,1.5154481,22,43,4.1839623,0,yes,60,1,0,0
18786,0,-.34898311,27,43,2.2973602,0,yes,90,0,1,0
18786,1,-.73010838,27,43,2.2973602,0,yes,90,0,1,0
19012,0,-.010320373,27,43,1.8491844,1,yes,90,0,1,0
19012,1,-.47128451,27,43,1.8491844,1,yes,90,0,1,0
19028,0,.92267793,23,43,3.5295444,0,yes,120,0,0,0
19028,1,.34989443,23,43,3.5295444,0,yes,120,0,0,0
19140,0,-.026746901,23,42,3.1589513,0,yes,30,0,0,0
19140,1,.80873179,23,42,3.1589513,0,yes,30,0,0,0
19144,0,.5226723,20,42,3.8351867,0,yes,30,0,0,0
19144,1,-1.0510818,20,42,3.8351867,0,yes,30,0,0,0
19146,0,.64487404,21,42,3.3134155,0,yes,80,0,0,0
19146,1,-.42737731,21,42,3.3134155,0,yes,80,0,0,0
19266,0,.79221594,22,42,4.0709419,0,yes,65,1,0,0
19266,1,.81296253,22,42,4.0709419,0,yes,65,1,0,0
19482,0,-.071804918,23,42,2.7133322,0,yes,180,1,0,1
19482,1,-.95363635,23,42,2.7133322,0,yes,180,1,0,1
20386,0,.43444785,26,39,2.953568,0,yes,70,0,1,0
20386,1,-.73579013,26,39,2.953568,0,yes,70,0,1,0
21068,0,1.1596433,25,38,3.7650187,0,yes,60,0,0,0
21068,1,.74477136,25,38,3.7650187,0,yes,60,0,0,0
21126,0,-.53353733,25,38,2.4348133,0,yes,120,0,0,0
21126,1,-1.3837925,25,38,2.4348133,0,yes,120,0,0,0
21142,0,-.29963693,25,38,3.663141,0,yes,130,0,1,0
21142,1,-1.6465424,25,38,3.663141,0,yes,130,0,1,0
21472,0,.38777176,24,37,2.5875034,0,yes,70,0,0,0
21472,1,-.77152473,24,37,2.5875034,0,yes,70,0,0,0
21474,0,-.26747805,25,37,2.7566977,0,yes,100,1,0,0
21474,1,-.36275116,25,37,2.7566977,0,yes,100,1,0,0
21614,0,-.28268334,25,37,2.9098122,0,yes,110,0,0,0
21614,1,-.64923447,25,37,2.9098122,0,yes,110,0,0,0
21622,0,.082909234,25,37,3.3491721,0,yes,30,0,1,0
21622,1,-.3565692,25,37,3.3491721,0,yes,30,0,1,0
21654,0,.62046653,29,37,4.1014285,0,yes,80,0,0,1
21654,1,.85732853,29,37,4.1014285,0,yes,80,0,0,1
21710,0,-.46703142,30,37,2.6169801,0,yes,90,1,1,1
21710,1,-.7477656,30,37,2.6169801,0,yes,90,1,1,1
21746,0,.043703545,21,37,2.8369355,0,yes,90,0,0,0
21746,1,-.3193579,21,37,2.8369355,0,yes,90,0,0,0
22130,0,-.86473614,25,36,2.5165932,0,yes,80,0,0,0
22130,1,-1.5486679,25,36,2.5165932,0,yes,80,0,0,0
22140,0,-1.1721945,25,36,3.8671577,0,yes,40,0,1,0
22140,1,-1.3623704,25,36,3.8671577,0,yes,40,0,1,0
22284,0,.62982976,21,36,3.4786634,1,yes,45,0,1,1
22284,1,.50563526,21,36,3.4786634,1,yes,45,0,1,1
22290,0,-.39368215,26,36,2.72949,1,yes,80,1,1,0
22290,1,-.42184621,26,36,2.72949,1,yes,80,1,1,0
22456,0,.34570426,21,36,3.5803354,0,yes,60,0,0,0
22456,1,-.60372698,21,36,3.5803354,0,yes,60,0,0,0
22706,0,.44474384,26,36,3.2608311,0,yes,60,0,1,0
